,0,1,2,3,4,5,6,7,8,9
2054,-13.680574,8.139308,-2.800327,-12.513693,-20.855286,-12.720621,7.2768235,-2.0934973,-12.527213,-20.064508
2055,-58.12842,41.865616,-15.924142,-17.754683,-49.94163,-59.507435,44.562176,-16.058472,-19.40225,-50.40598
2056,-3.6949844,13.723208,-2.5993836,-18.20793,-10.77909,4.0971074,13.923519,-4.1000347,-21.149405,-7.2288127
2057,-13.881335,5.434721,-2.0914938,-6.4988036,-17.036911,-22.308943,3.2828867,-1.9724197,-4.8752594,-25.873735
2058,-108.833244,86.73643,-36.342533,-25.855572,-84.29492,-111.46052,87.71342,-33.04676,-25.79288,-82.58674
2059,2.6727989,4.876294,-1.114376,-7.8947415,-1.4600239,2.5994372,4.8990607,-1.1342568,-7.615606,-1.2513652
2060,-3.4805486,3.4727304,-1.036561,-7.842323,-8.886702,-4.192934,2.1285913,-0.72826195,-7.593332,-10.385937
2061,-2.5818572,6.9024043,-1.034616,-13.521877,-10.235947,-2.384871,6.503688,-0.70595556,-13.589119,-10.176257
2062,-7.0051937,11.129876,-1.6351418,-13.336336,-10.846795,-8.221292,10.51729,-1.9411491,-14.425137,-14.070287
2063,-35.504692,36.046402,-8.76684,-6.2979436,-14.523073,-47.942677,47.879242,-13.927366,-7.295714,-21.286516
2064,-17.020761,12.1045065,-3.7077003,-7.7924232,-16.416378,-18.130272,13.494206,-4.0312567,-8.134899,-16.802221
2065,-5.3298006,13.793222,-2.1061234,-20.04894,-13.691642,-4.521882,12.962592,-1.8709035,-20.662931,-14.093126
2066,0.106505394,0.9623035,-0.60840636,-2.7806344,-2.320232,0.51762277,0.4171419,-0.5306226,-1.697104,-1.2929618
2067,-0.6043632,4.88251,-0.7699789,-6.6342683,-3.1261005,0.07184221,5.919844,-1.1317264,-6.687765,-1.8278055
2068,-5.807146,7.299112,-2.0211139,-13.018356,-13.547504,-6.065358,7.6041355,-2.4948356,-13.084666,-14.040724
2069,-37.937954,44.448864,-11.935674,-60.763355,-66.18812,-26.342096,41.42416,-6.3883543,-57.435165,-48.74146
2070,-15.445243,5.901204,-2.2285633,-6.080229,-17.85283,-3.67382,4.0564775,-0.82069194,-5.5011115,-5.939146
2071,9.689967,2.4033048,-1.1069807,-2.8796456,8.106646,9.451194,2.165455,-0.8278199,-2.4639165,8.324912
2072,-2.9048748,1.0764188,-0.37947977,-2.0877466,-4.2956824,-2.5581555,0.71518064,-0.32895508,-1.2694094,-3.4413393
2073,-35.357487,22.584064,-7.5224056,-18.809011,-39.10484,-33.735897,21.69231,-6.391787,-19.427374,-37.862747
2074,-11.706663,8.5486555,-2.3551378,-8.327084,-13.840229,-12.968992,10.408449,-2.1584508,-9.375899,-14.094893
2075,-16.444143,30.832912,-4.247596,-34.873207,-24.732035,-16.110485,33.024082,-4.396044,-35.397186,-22.879631
2076,-6.6477976,11.012106,-2.0130155,-25.170698,-22.819405,-5.6949553,9.831116,-1.7582256,-24.36854,-21.990606
2077,-3.244515,16.697502,-2.7149844,-21.220043,-10.48204,-2.8418822,17.12187,-3.1002438,-21.119755,-9.94001
2078,1.2270935,8.4002495,-1.1175532,-10.465801,-1.9560118,0.39718106,9.254975,-1.0937597,-10.955051,-2.3966546
2079,-19.073767,23.187017,-4.4335117,-5.726818,-6.047079,-20.33554,25.505001,-4.5826826,-6.016961,-5.4301834
2080,-6.580226,15.156894,-2.5807748,-21.288195,-15.292301,-4.238378,15.421263,-2.124397,-23.048983,-13.990495
