CONFIGURATIONS,ELECTRO,EXCHANGE,INDUCTION,DISPERISION,TOTAL
AJAREJ.RFD.cif_233.xyz,-3.38674096,4.07103855,-3.01910453,-6.81116880,-9.14597574
AJAREJ.RFD.cif_242.xyz,1.79016473,5.30876048,-2.47229726,-5.75683539,-1.13020744
AJAREJ.RFD.cif_247.xyz,-34.26909336,24.37491788,-5.44439819,-10.74984198,-26.08841566
AJAREJ.RFD.cif_254.xyz,-7.25743975,5.08327950,-1.06957785,-6.43182654,-9.67556464
AJAREJ.RFD.cif_279.xyz,-32.67745520,17.60175174,-5.02412121,-21.81043083,-41.91025550
AJAREJ.RFD.cif_282.xyz,-27.11953728,19.26173716,-6.97301550,-5.68681832,-20.51763395
AJAREJ.RFD.cif_286.xyz,15.75967469,4.77949590,-2.71823863,-5.44845721,12.37247475
AJAREJ.RFD.cif_85.xyz,-32.67745481,17.60175175,-5.02410827,-21.81043083,-41.91024216
AKENEK.RFD.cif_277.xyz,-28.25528018,14.87893163,-5.90853605,-11.22001280,-30.50489740
AKENEK.RFD.cif_358.xyz,-24.86354070,11.47425062,-4.85681294,-10.70857777,-28.95468079
AKENEK.RFD.cif_368.xyz,0.05557066,4.65831476,-1.10149745,-7.81697668,-4.20458870
AKENEK.RFD.cif_377.xyz,6.08518649,7.95050870,-2.27668305,-9.54325280,2.21575934
AKENEK.RFD.cif_392.xyz,-37.99997964,37.82889679,-7.43960535,-50.40860889,-58.01929708
AKENEK.RFD.cif_467.xyz,-18.19287226,20.51114757,-5.22618539,-23.78814441,-26.69605449
AKENEK.RFD.cif_468.xyz,-18.19567232,20.51372389,-5.22619844,-23.78941844,-26.69756530
AKENEK.RFD.cif_472.xyz,-100.96994597,95.97891187,-24.91908022,-35.19947897,-65.10959330
AKENEK.RFD.cif_473.xyz,-3.06482075,5.91507857,-2.02667298,-7.17470433,-6.35111948
AKENEK.RFD.cif_477.xyz,-33.86657169,41.70815965,-8.25345864,-55.44018311,-55.85205379
AKENEK.RFD.cif_556.xyz,4.21945786,10.96465097,-2.41634232,-14.18958720,-1.42182069
AKENEK.RFD.cif_591.xyz,-40.99709313,20.38263936,-8.40503094,-17.61912162,-46.63860632
AKENEK.RFD.cif_601.xyz,6.08515105,7.94853818,-2.27684255,-9.54221545,2.21463123
AKIGAE.RFD.cif_117.xyz,-79.33512593,137.09077264,-41.88507927,-144.08746276,-128.21689533
AKIGAE.RFD.cif_118.xyz,-8.27411043,12.01603978,-1.54575420,-17.30930245,-15.11312731
AKIGAE.RFD.cif_126.xyz,-0.13185629,2.22625246,-0.32472315,-7.26294011,-5.49326709
AKIGAE.RFD.cif_133.xyz,-3.20804236,7.80842402,-1.18726265,-11.33667773,-7.92355872
AKIGAE.RFD.cif_135.xyz,-3.74995119,7.34705178,-1.19251258,-8.13764077,-5.73305275
AKIGAE.RFD.cif_144.xyz,-20.40663362,33.53637496,-3.89562526,-39.29341112,-30.05929504
